Sample name	ls_delta	ls_ba1	ls_ba2
sample78.fastq	0.3636363636	0.01587301587	0.01428571429
sample79.fastq	0.1363636364	0.1587301587	0.1571428571
sample80.fastq	0.09090909091	0.380952381	0.3142857143
sample81.fastq	0.2727272727	0.06349206349	0.05714285714
sample82.fastq	0.1363636364	0.4126984127	0.3428571429
sample83.fastq	0.1363636364	0.4920634921	0.3714285714
sample84.fastq	0.09090909091	0.3492063492	0.4285714286
sample85.fastq	0.09090909091	0.04761904762	0.02857142857
sample86.fastq	0.1363636364	0.5555555556	0.3571428571
sample87.fastq	0.09090909091	0.1904761905	0.08571428571
sample88.fastq	0.1363636364	0.07936507937	0.05714285714
sample89.fastq	0.09090909091	0.4285714286	0.2428571429
sample90.fastq	0.09090909091	0.3968253968	0.5857142857
sample91.fastq	0.1818181818	0.01587301587	0.01428571429
sample92.fastq	0.1818181818	0.380952381	0.4142857143
sample93.fastq	0.1363636364	0.04761904762	0.04285714286
sample94.fastq	0.1363636364	0.04761904762	0.04285714286
sample95.fastq	0.04545454545	0.2857142857	0.1571428571
sample96.fastq	0.1363636364	0.5396825397	0.3428571429
sample97.fastq	0.09090909091	0.4761904762	0.3142857143
sample98.fastq	0	0	0
sample99.fastq	0.3181818182	0.06349206349	0.05714285714
sample100.fastq	0.09090909091	0.3968253968	0.5857142857
